flow_id,src_addr,src_port,dst_addr,dst_port,ip_prot,timestamp,flow_duration,down_up_ratio,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,pkt_len_std,bytes_per_s,pkt_per_s,fwd_pkt_per_s,bwd_pkt_per_s,fwd_pkt_cnt,fwd_pkt_len_tot,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_hdr_len_tot,fwd_pkt_hdr_len_min,fwd_non_empty_pkt_cnt,bwd_pkt_cnt,bwd_pkt_len_tot,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_hdr_len_tot,bwd_pkt_hdr_len_min,bwd_non_empty_pkt_cnt,iat_max,iat_min,iat_mean,iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,flag_SYN,flag_fin,flag_rst,flag_ack,flag_psh,fwd_flag_psh,bwd_flag_psh,flag_urg,fwd_flag_urg,bwd_flag_urg,flag_cwr,flag_ece,fwd_bulk_bytes_mean,fwd_bulk_pkt_mean,fwd_bulk_rate_mean,bwd_bulk_bytes_mean,bwd_bulk_pkt_mean,bwd_bulk_rate_mean,fwd_subflow_bytes_mean,fwd_subflow_pkt_mean,bwd_subflow_bytes_mean,bwd_subflow_pkt_mean,fwd_tcp_init_win_bytes,bwd_tcp_init_win_bytes,label
192.168.132.79-10.11.12.13-34042-53-17,192.168.132.79,34042,10.11.12.13,53,17,1782936736098082,892,1.0,389.0,49.0,219.0,57800.0,240.416306,491031.390135,2242.152466,1121.076233,1121.076233,1,49,49.0,49.0,49.0,0.0,8,8,1,1,389,389.0,0.0,389.0,0.0,8,8,1,892.0,892.0,892.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,389.0,1.0,-1,-1,NeedLabel
192.168.132.79-216.239.32.181-55529-443-17,192.168.132.79,55529,216.239.32.181,443,17,1782936736098696,189035,1.857143,1252.0,24.0,563.45,307786.365789,554.784973,59613.299125,105.800513,37.03018,68.770334,7,5732,1252.0,31.0,818.857143,578.82537,56,8,7,13,5537,1252.0,0.0,425.923077,511.142586,104,8,13,77125.0,1.0,9949.210526,21275.992748,111910,54832.0,2.0,18651.666667,27192.50862,135021,77234.0,1.0,11251.75,23059.876965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4752.0,7.0,2002528.445006,5732.0,7.0,5537.0,13.0,-1,-1,NeedLabel
192.168.132.79-10.11.12.13-37513-53-17,192.168.132.79,37513,10.11.12.13,53,17,1782936736113345,505,1.0,96.0,46.0,71.0,1250.0,35.355339,281188.118812,3960.39604,1980.19802,1980.19802,1,46,46.0,46.0,46.0,0.0,8,8,1,1,96,96.0,0.0,96.0,0.0,8,8,1,505.0,505.0,505.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,96.0,1.0,-1,-1,NeedLabel
192.168.132.79-142.251.156.2-58795-443-17,192.168.132.79,58795,142.251.156.2,443,17,1782936736114135,507731,1.192308,1252.0,24.0,493.421053,323520.355263,568.788498,55393.505616,112.264171,51.208219,61.055953,26,19243,1252.0,29.0,740.115385,605.111846,208,8,26,31,8882,1252.0,0.0,286.516129,449.211225,248,8,31,71664.0,0.0,9066.625,16400.266134,457001,102925.0,1.0,18280.04,27359.493158,454871,80497.0,0.0,15162.366667,22642.324854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7575.5,6.5,830100.81087,2212.0,5.0,178166.78301,19243.0,26.0,8882.0,31.0,-1,-1,NeedLabel
192.168.132.79-10.11.12.13-32772-53-17,192.168.132.79,32772,10.11.12.13,53,17,1782936736137366,621,1.0,378.0,56.0,217.0,51842.0,227.688384,698872.785829,3220.611916,1610.305958,1610.305958,1,56,56.0,56.0,56.0,0.0,8,8,1,1,378,378.0,0.0,378.0,0.0,8,8,1,621.0,621.0,621.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,378.0,1.0,-1,-1,NeedLabel
192.168.132.79-172.217.192.157-33288-443-17,192.168.132.79,33288,172.217.192.157,443,17,1782936736138298,123265,1.071429,1252.0,24.0,441.655172,278736.162562,527.954697,103906.21831,235.265485,113.576441,121.689044,14,7350,1252.0,46.0,525.0,571.697607,112,8,14,15,5458,1252.0,0.0,363.866667,490.459095,120,8,15,50772.0,0.0,4402.321429,12439.607005,123265,50820.0,2.0,9481.923077,17247.722204,72599,50795.0,0.0,5185.642857,13723.97644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5524.0,6.0,110208.88614,4752.0,7.0,1640883.977901,7350.0,14.0,5458.0,15.0,-1,-1,NeedLabel
192.168.132.79-142.251.156.2-42712-443-17,192.168.132.79,42712,142.251.156.2,443,17,1782936736139114,228820,1.888889,1252.0,24.0,582.307692,327649.501538,572.406762,66165.54497,113.626431,39.332226,74.294205,9,7209,1252.0,31.0,801.0,589.400967,72,8,9,17,7931,1252.0,0.0,466.529412,545.078792,136,8,17,85678.0,0.0,9152.8,20842.672939,143142,62669.0,1.0,17892.75,26499.778068,174911,85785.0,0.0,10931.9375,23168.360266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3223.0,5.5,2019423.558897,7209.0,9.0,7931.0,17.0,-1,-1,NeedLabel
192.168.132.79-10.11.12.13-47616-53-17,192.168.132.79,47616,10.11.12.13,53,17,1782936736147796,2043,1.0,927.0,47.0,487.0,387200.0,622.253967,476749.877631,978.952521,489.47626,489.47626,1,47,47.0,47.0,47.0,0.0,8,8,1,1,927,927.0,0.0,927.0,0.0,8,8,1,2043.0,2043.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,927.0,1.0,-1,-1,NeedLabel
192.168.132.79-10.11.12.13-47786-53-17,192.168.132.79,47786,10.11.12.13,53,17,1782936736147824,52650,1.0,1023.0,47.0,535.0,476288.0,690.136218,20322.88699,37.986705,18.993352,18.993352,1,47,47.0,47.0,47.0,0.0,8,8,1,1,1023,1023.0,0.0,1023.0,0.0,8,8,1,52650.0,52650.0,52650.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,1023.0,1.0,-1,-1,NeedLabel
52.123.190.189-192.168.132.125-443-56629-6,52.123.190.189,443,192.168.132.125,56629,6,1782936736885823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,20,20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,146,-1,NeedLabel
